"","infinitive","forms"
"39","ahorcar","ahorco;ahorcas;ahorca;ahorcamos;ahorcáis;ahorcan;ahorcando;ahorcado;ahorcaré;ahorcarás;ahorcará;ahorcaremos;ahorcaréis;ahorcarán;ahorcaba;ahorcabas;ahorcábamos;ahorcabais;ahorcaban;ahorqué;ahorcaste;ahorcó;ahorcasteis;ahorcaron;ahorcaría;ahorcarías;ahorcaríamos;ahorcaríais;ahorcarían;ahorque;ahorques;ahorquemos;ahorquéis;ahorquen;ahorcara;ahorcaras;ahorcáramos;ahorcarais;ahorcaran;ahorcare;ahorcares;ahorcáremos;ahorcareis;ahorcaren;;ahorcad"
"40","ahorrar","ahorro;ahorras;ahorra;ahorramos;ahorráis;ahorran;ahorrando;ahorrado;ahorraré;ahorrarás;ahorrará;ahorraremos;ahorraréis;ahorrarán;ahorraba;ahorrabas;ahorrábamos;ahorrabais;ahorraban;ahorré;ahorraste;ahorró;ahorrasteis;ahorraron;ahorraría;ahorrarías;ahorraríamos;ahorraríais;ahorrarían;ahorre;ahorres;ahorremos;ahorréis;ahorren;ahorrara;ahorraras;ahorráramos;ahorrarais;ahorraran;ahorrare;ahorrares;ahorráremos;ahorrareis;ahorraren;;ahorrad"
"41","alcanzar","alcanzo;alcanzas;alcanza;alcanzamos;alcanzáis;alcanzan;alcanzando;alcanzado;alcanzaré;alcanzarás;alcanzará;alcanzaremos;alcanzaréis;alcanzarán;alcanzaba;alcanzabas;alcanzábamos;alcanzabais;alcanzaban;alcancé;alcanzaste;alcanzó;alcanzasteis;alcanzaron;alcanzaría;alcanzarías;alcanzaríamos;alcanzaríais;alcanzarían;alcance;alcances;alcancemos;alcancéis;alcancen;alcanzara;alcanzaras;alcanzáramos;alcanzarais;alcanzaran;alcanzare;alcanzares;alcanzáremos;alcanzareis;alcanzaren;;alcanzad"
"42","alegrar","alegro;alegras;alegra;alegramos;alegráis;alegran;alegrando;alegrado;alegraré;alegrarás;alegrará;alegraremos;alegraréis;alegrarán;alegraba;alegrabas;alegrábamos;alegrabais;alegraban;alegré;alegraste;alegró;alegrasteis;alegraron;alegraría;alegrarías;alegraríamos;alegraríais;alegrarían;alegre;alegres;alegremos;alegréis;alegren;alegrara;alegraras;alegráramos;alegrarais;alegraran;alegrare;alegrares;alegráremos;alegrareis;alegraren;;alegrad"
"43","alegrarse",";alégrate;alegraos;alégrese;alégrense;alegrándose;alegrado"
"44","alentar","aliento;alientas;alienta;alentamos;alentáis;alientan;alentando;alentado;alentaré;alentarás;alentará;alentaremos;alentaréis;alentarán;alentaba;alentabas;alentábamos;alentabais;alentaban;alenté;alentaste;alentó;alentasteis;alentaron;alentaría;alentarías;alentaríamos;alentaríais;alentarían;aliente;alientes;alentemos;alentéis;alienten;alentara;alentaras;alentáramos;alentarais;alentaran;alentare;alentares;alentáremos;alentareis;alentaren;;alentad"
"45","aliviar","alivio;alivias;alivia;aliviamos;aliviáis;alivian;aliviando;aliviado;aliviaré;aliviarás;aliviará;aliviaremos;aliviaréis;aliviarán;aliviaba;aliviabas;aliviábamos;aliviabais;aliviaban;alivié;aliviaste;alivió;aliviasteis;aliviaron;aliviaría;aliviarías;aliviaríamos;aliviaríais;aliviarían;alivie;alivies;aliviemos;aliviéis;alivien;aliviara;aliviaras;aliviáramos;aliviarais;aliviaran;aliviare;aliviares;aliviáremos;aliviareis;aliviaren;;aliviad"
"46","almorzar","almuerzo;almuerzas;almuerza;almorzamos;almorzáis;almuerzan;almorzando;almorzado;almorzaré;almorzarás;almorzará;almorzaremos;almorzaréis;almorzarán;almorzaba;almorzabas;almorzábamos;almorzabais;almorzaban;almorcé;almorzaste;almorzó;almorzasteis;almorzaron;almorzaría;almorzarías;almorzaríamos;almorzaríais;almorzarían;almuerce;almuerces;almorcemos;almorcéis;almuercen;almorzara;almorzaras;almorzáramos;almorzarais;almorzaran;almorzare;almorzares;almorzáremos;almorzareis;almorzaren;;almorzad"
"47","alquilar","alquilo;alquilas;alquila;alquilamos;alquiláis;alquilan;alquilando;alquilado;alquilaré;alquilarás;alquilará;alquilaremos;alquilaréis;alquilarán;alquilaba;alquilabas;alquilábamos;alquilabais;alquilaban;alquilé;alquilaste;alquiló;alquilasteis;alquilaron;alquilaría;alquilarías;alquilaríamos;alquilaríais;alquilarían;alquile;alquiles;alquilemos;alquiléis;alquilen;alquilara;alquilaras;alquiláramos;alquilarais;alquilaran;alquilare;alquilares;alquiláremos;alquilareis;alquilaren;;alquilad"
"48","amanecer","amanezco;amaneces;amanece;amanecemos;amanecéis;amanecen;amaneciendo;amanecido;amaneceré;amanecerás;amanecerá;amaneceremos;amaneceréis;amanecerán;amanecía;amanecías;amanecíamos;amanecíais;amanecían;amanecí;amaneciste;amaneció;amanecimos;amanecisteis;amanecieron;amanecería;amanecerías;amaneceríamos;amaneceríais;amanecerían;amanezca;amanezcas;amanezcamos;amanezcáis;amanezcan;amaneciera;amanecieras;amaneciéramos;amanecierais;amanecieran;amaneciere;amanecieres;amaneciéremos;amaneciereis;amanecieren;;amaneced"
